Player,Team,Year,Att,Cmp,Pct,Yds,TD,TD%,Int,Sack,Rate,Stat Type
Eric Soza,UTSA,2013,377,236,62.6,"2,719",12,3.2,11,14,127.8,Passing
Caleb Herring,UNLV,2013,405,256,63.2,"2,718",24,5.9,5,24,136.7,Passing
Davis Webb,TTU,2013,361,226,62.6,"2,718",20,5.5,9,7,139.1,Passing
Cody Fajardo,NEV,2013,358,243,67.9,"2,668",13,3.6,3,21,140.8,Passing
Kevin Hogan,STAN,2013,295,180,61.0,"2,630",20,6.8,10,14,151.5,Passing
Ross Metheny,USA,2013,324,201,62.0,"2,622",15,4.6,7,13,141.0,Passing
Ronnie Bell,GAST,2013,375,188,50.1,"2,573",15,4.0,11,30,115.1,Passing
Nate Sudfeld,IND,2013,322,194,60.2,"2,523",21,6.5,9,16,142.0,Passing
B.J. Denker,ARIZ,2013,381,233,61.2,"2,516",16,4.2,7,16,126.8,Passing
Logan Kilgore,MTSU,2013,355,216,60.8,"2,507",16,4.5,13,13,127.7,Passing
Andrew McDonald,NMST,2013,350,233,66.6,"2,497",15,4.3,11,20,134.4,Passing
Joel Stave,WISC,2013,336,208,61.9,"2,494",22,6.5,13,16,138.1,Passing
Jake Waters,KSST,2013,260,159,61.2,"2,469",18,6.9,9,23,156.8,Passing
Connor Shaw,SCAR,2013,284,180,63.4,"2,447",24,8.5,1,20,162.9,Passing
Kyle Pohl,AKR,2013,402,225,56.0,"2,438",14,3.5,10,23,113.4,Passing
James Franklin,MIZZ,2013,319,198,62.1,"2,429",19,6.0,6,22,141.9,Passing
Terrance Broadway,ULL,2013,266,166,62.4,"2,419",19,7.1,12,22,153.3,Passing
Jake Rudock,IOWA,2013,346,204,59.0,"2,383",18,5.2,13,14,126.5,Passing
Adam Kennedy,ARST,2013,315,218,69.2,"2,363",11,3.5,6,28,139.9,Passing
Cooper Rush,CMU,2013,312,177,56.7,"2,349",15,4.8,15,26,126.2,Passing
Taylor McHargue,RICE,2013,324,169,52.2,"2,345",17,5.2,8,30,125.3,Passing
Baker Mayfield,TTU,2013,340,218,64.1,"2,315",12,3.5,9,24,127.7,Passing
Austyn Carta-Samuels,VAN,2013,281,193,68.7,"2,268",11,3.9,9,20,143.0,Passing
Anthony Boone,DUKE,2013,322,206,64.0,"2,260",13,4.0,13,10,128.2,Passing
C.J. Brown,MD,2013,282,166,58.9,"2,242",13,4.6,7,22,135.9,Passing
Tanner Price,WF,2013,378,206,54.5,"2,233",13,3.4,10,22,110.2,Passing
Terrance Owens,TOL,2013,318,191,60.1,"2,230",18,5.7,9,6,132.0,Passing
David Watford,UVA,2013,427,244,57.1,"2,202",8,1.9,15,19,99.6,Passing
Kolton Browning,ULM,2013,352,200,56.8,"2,179",21,6.0,8,25,124.0,Passing
Clint Chelf,OKST,2013,291,164,56.4,"2,173",17,5.8,8,9,132.9,Passing
Gary Nova,RUT,2013,303,165,54.5,"2,159",18,5.9,14,25,124.7,Passing
Trevor Siemian,NW,2013,298,178,59.7,"2,149",11,3.7,9,19,126.4,Passing
Braxton Miller,OSU,2013,255,162,63.5,"2,094",24,9.4,7,21,158.1,Passing
Phillip Walker,TEM,2013,250,152,60.8,"2,084",20,8.0,8,23,150.8,Passing
Paxton Lynch,MEM,2013,349,203,58.2,"2,056",9,2.6,10,25,110.4,Passing
Chase Rettig,BC,2013,263,162,61.6,"1,995",17,6.5,8,23,140.6,Passing
