Player,Year,Team,Stat Type
Chris Finke,2018,ND,Punt Return
DeeJay Dallas,2018,MIA,Punt Return
Shun Brown,2018,ARIZ,Punt Return
Isaiah Zuber,2018,KSST,Punt Return
Otis Anderson,2018,UCF,Punt Return
DeAndre Thompkins,2018,PSU,Punt Return
KaVontae Turpin,2018,TCU,Punt Return
Marquez Callaway,2018,TENN,Punt Return
Hutch White,2018,TXST,Punt Return
Jordan Nathan,2018,USU,Punt Return
James Proche,2018,SMU,Punt Return
Trenton Irwin,2018,STAN,Punt Return
Rafael Araujo-Lopes,2018,PITT,Punt Return
Penny Hart,2018,GAST,Punt Return
Austin Conway,2018,WYO,Punt Return
N'Keal Harry,2018,AZST,Punt Return
Tarique Milton,2018,IAST,Punt Return
Trey Ellis,2018,VAN,Punt Return
J-Shun Harris II,2018,IND,Punt Return
Marcel Williams,2018,MRSH,Punt Return
Lynn Bowden Jr.,2018,KY,Punt Return
T.J. Rahming,2018,DUKE,Punt Return
Tavares Kelly,2018,UVA,Punt Return
Jeremiah Knight,2018,AKR,Punt Return
Michael Shelton,2018,BYU,Punt Return
Thayer Thomas,2018,NCST,Punt Return
Jarion Anderson,2018,TULS,Punt Return
Isaiah Harper,2018,ODU,Punt Return
Ronnie Rivers,2018,FRES,Punt Return
Quez Watkins,2018,USM,Punt Return
Keegan Brewer,2018,UNT,Punt Return
Terry Juniel,2018,UTEP,Punt Return
Tyron Arnett,2018,WMU,Punt Return
Andre Wilson,2018,UAB,Punt Return
Avery Williams,2018,BSU,Punt Return
De'Quan Bowman,2018,TTU,Punt Return
Aulden Knight,2018,CINN,Punt Return
Aaron Fuller,2018,WASH,Punt Return
Cedarius Rookard,2018,TROY,Punt Return
D'Shawn Jamison,2018,TEX,Punt Return
Demetrius Douglas,2018,MINN,Punt Return
Amare Jones,2018,TULN,Punt Return
Antoine Winfield Jr.,2018,MINN,Punt Return
Riley Lees,2018,NW,Punt Return
Romeo Doubs,2018,NEV,Punt Return
Thomas Hennigan,2018,APST,Punt Return
Thai Cottrell,2018,SJSU,Punt Return
Justice Augafa,2018,HAW,Punt Return
Nikko Remigio,2018,CAL,Punt Return
DJ Stubbs,2018,LIB,Punt Return
Wesley Kennedy III,2018,GSU,Punt Return
Cody Thompson,2018,TOL,Punt Return
Mike Reynolds,2018,ARMY,Punt Return
Jake Springer,2018,NAVY,Punt Return
Jalen Reagor,2018,TCU,Punt Return
KJ Hamler,2018,PSU,Punt Return
Bryan Edwards,2018,SCAR,Punt Return
Jack Dunn,2018,WISC,Punt Return
Danzel McKinley-Lewis,2018,TOL,Punt Return
Bryson Smith,2018,HOU,Punt Return
Jonathan Giles,2018,LSU,Punt Return
Tra Minter,2018,USA,Punt Return
Deon Stewart,2018,ARK,Punt Return
Trevon Brown,2018,ECU,Punt Return
Marcus Green,2018,ULM,Punt Return
Ronald Cleveland,2018,AF,Punt Return
Rondale Moore,2018,PUR,Punt Return
Brandon Sowards,2018,MSU,Punt Return
O.J. Clark,2018,NMST,Punt Return
Derius Davis,2018,TCU,Punt Return
